,video,Short-term-pred,Long-term-pred,Short-term-true,Long-term-true
0,video6005.webm,0.94187355,0.850422,0.861,0.75
1,video6006.webm,0.86343443,0.7702459,0.956,0.833
2,video6007.webm,0.9131396,0.8165704,0.922,0.722
3,video6009.webm,0.73951477,0.6604906,0.895,0.6920000000000001
4,video6010.webm,0.9445741,0.8628633,0.8390000000000001,0.8
5,video6011.webm,0.8389477,0.74012727,0.9229999999999999,0.625
6,video6012.webm,0.8614334,0.7666774,0.5920000000000001,0.267
7,video6013.webm,0.77738273,0.69567126,0.983,0.7829999999999999
8,video6015.webm,0.7498407,0.67045933,0.8959999999999999,0.818
9,video6016.webm,0.74382067,0.662457,0.831,0.583
10,video6017.webm,0.8115939,0.72684467,0.82,0.81
11,video6018.webm,0.9450922,0.8573991,0.861,0.917
12,video6019.webm,0.9446119,0.8583908,0.9209999999999999,0.7
13,video6021.webm,0.90948284,0.8169708,0.7390000000000001,0.9
14,video6022.webm,0.9373489,0.8446561,0.951,1.0
15,video6024.webm,0.72488177,0.65932435,0.86,0.727
16,video6026.webm,0.9401057,0.8492559,0.8759999999999999,0.556
17,video6027.webm,0.925099,0.8267213,0.8420000000000001,0.9
18,video6028.webm,0.8832997,0.7836086,0.89,0.909
19,video6030.webm,0.8014829,0.71004176,0.922,0.813
20,video6031.webm,0.85244024,0.75066453,0.953,0.889
21,video6032.webm,0.90352714,0.8102876,0.893,0.8
22,video6033.webm,0.89793026,0.7892375,0.747,0.889
23,video6034.webm,0.8051276,0.71379566,0.8240000000000001,0.654
24,video6036.webm,0.87009495,0.767303,0.922,0.75
25,video6037.webm,0.9231057,0.8279549,0.769,0.727
26,video6038.webm,0.85123646,0.7538588,0.922,0.909
27,video6039.webm,0.8872696,0.78592336,0.892,0.8
28,video6040.webm,0.89299953,0.7976968,0.867,0.909
29,video6041.webm,0.74451894,0.66523105,0.8690000000000001,0.818
30,video6042.webm,0.8537513,0.76450753,0.816,0.8
31,video6043.webm,0.8572426,0.7655916,0.9309999999999999,0.8
32,video6044.webm,0.8385307,0.7402442,0.9229999999999999,0.818
33,video6047.webm,0.86508775,0.76489973,0.8390000000000001,0.455
34,video6048.webm,0.92981505,0.8381748,0.797,0.8
35,video6049.webm,0.7801026,0.69829446,0.8320000000000001,0.4
36,video6050.webm,0.9585036,0.8783517,0.8029999999999999,0.8
37,video6051.webm,0.8079684,0.7114902,0.691,0.4
38,video6052.webm,0.85850346,0.7565867,0.8059999999999999,0.846
39,video6054.webm,0.94227505,0.8551054,0.897,0.733
40,video6055.webm,0.8762642,0.7803043,0.953,0.846
41,video6056.webm,0.9433056,0.86257255,0.684,0.813
42,video6057.webm,0.8766157,0.7818817,0.743,0.7140000000000001
43,video6058.webm,0.95285785,0.86964166,0.897,0.9229999999999999
44,video6059.webm,0.9165149,0.8210365,0.872,0.813
45,video6060.webm,0.9071639,0.80629253,0.9640000000000001,0.9229999999999999
46,video6061.webm,0.86744416,0.7682122,0.721,0.833
47,video6062.webm,0.8117711,0.7248944,0.8959999999999999,0.5379999999999999
48,video6063.webm,0.90430737,0.8034024,0.893,0.769
49,video6064.webm,0.87160176,0.7748507,0.953,0.545
50,video6065.webm,0.8908782,0.78166807,0.8909999999999999,0.9
51,video6067.webm,0.78551507,0.6964052,0.9259999999999999,0.889
52,video6068.webm,0.9405434,0.8598031,0.899,0.583
53,video6069.webm,0.7693664,0.6869322,0.748,0.615
54,video6071.webm,0.8438334,0.74731356,0.831,0.7
55,video6072.webm,0.8609847,0.7588321,0.838,0.818
56,video6073.webm,0.9598217,0.8770026,0.9229999999999999,0.833
57,video6074.webm,0.80995166,0.71716654,0.8079999999999999,0.7859999999999999
58,video6075.webm,0.89942306,0.8041576,0.953,0.846
59,video6076.webm,0.88469875,0.7775047,0.9590000000000001,0.846
60,video6077.webm,0.80295366,0.71412843,0.9109999999999999,0.545
61,video6079.webm,0.7699015,0.6836376,0.627,0.455
62,video6080.webm,0.8744757,0.7743131,0.892,0.889
63,video6081.webm,0.9383391,0.84183735,0.883,0.75
64,video6084.webm,0.9213562,0.83094645,0.868,0.706
65,video6086.webm,0.8431322,0.74569184,0.953,0.818
66,video6087.webm,0.93422586,0.84650457,0.887,0.875
67,video6088.webm,0.8337673,0.7449336,0.8390000000000001,0.9
68,video6089.webm,0.867978,0.7717278,0.893,0.833
69,video6091.webm,0.8746098,0.7769898,0.924,0.875
70,video6092.webm,0.8684118,0.76904875,0.752,0.909
71,video6093.webm,0.8947115,0.7966052,0.8959999999999999,1.0
72,video6094.webm,0.93774056,0.85228825,0.9540000000000001,0.909
73,video6095.webm,0.93705887,0.8508748,0.805,0.667
74,video6096.webm,0.82893753,0.7316549,0.955,0.8
75,video6097.webm,0.90061533,0.8026246,0.815,0.556
76,video6098.webm,0.82374,0.72620255,0.775,0.6
77,video6099.webm,0.85384166,0.7539207,0.809,0.667
78,video6100.webm,0.9028292,0.8089547,0.95,0.8
79,video6102.webm,0.9053417,0.80594254,0.841,0.9
