,video,Short-term-pred,Long-term-pred,Short-term-true,Long-term-true
0,video6005.webm,0.8606383,0.7780217,0.861,0.75
1,video6006.webm,0.85398376,0.7692289,0.956,0.833
2,video6007.webm,0.858632,0.7753599,0.922,0.722
3,video6009.webm,0.85064566,0.7648545,0.895,0.6920000000000001
4,video6010.webm,0.85630333,0.77228135,0.8390000000000001,0.8
5,video6011.webm,0.85762894,0.77403355,0.9229999999999999,0.625
6,video6012.webm,0.8580235,0.77455574,0.5920000000000001,0.267
7,video6013.webm,0.8551072,0.7707032,0.983,0.7829999999999999
8,video6015.webm,0.854259,0.7695918,0.8959999999999999,0.818
9,video6016.webm,0.8508949,0.76518,0.831,0.583
10,video6017.webm,0.8522827,0.7669971,0.82,0.81
11,video6018.webm,0.86294985,0.7810999,0.861,0.917
12,video6019.webm,0.86683714,0.786304,0.9209999999999999,0.7
13,video6021.webm,0.85377765,0.76895875,0.7390000000000001,0.9
14,video6022.webm,0.86320245,0.78143823,0.951,1.0
15,video6024.webm,0.8505888,0.7647799,0.86,0.727
16,video6026.webm,0.85723174,0.7735099,0.8759999999999999,0.556
17,video6027.webm,0.86604154,0.7852362,0.8420000000000001,0.9
18,video6028.webm,0.85797536,0.7744875,0.89,0.909
19,video6030.webm,0.8622864,0.7802124,0.922,0.813
20,video6031.webm,0.8538525,0.7690535,0.953,0.889
21,video6032.webm,0.8535291,0.76863074,0.893,0.8
22,video6033.webm,0.8669071,0.7863995,0.747,0.889
23,video6034.webm,0.85183793,0.76641333,0.8240000000000001,0.654
24,video6036.webm,0.8542681,0.76960087,0.922,0.75
25,video6037.webm,0.8551833,0.77080756,0.769,0.727
26,video6038.webm,0.8511535,0.765519,0.922,0.909
27,video6039.webm,0.86476994,0.78353065,0.892,0.8
28,video6040.webm,0.85275376,0.76761496,0.867,0.909
29,video6041.webm,0.8516093,0.76611584,0.8690000000000001,0.818
30,video6042.webm,0.85702395,0.77323353,0.816,0.8
31,video6043.webm,0.85065377,0.7648666,0.9309999999999999,0.8
32,video6044.webm,0.8530762,0.7680354,0.9229999999999999,0.818
33,video6047.webm,0.8602501,0.7775128,0.8390000000000001,0.455
34,video6048.webm,0.862796,0.7808968,0.797,0.8
35,video6049.webm,0.8521935,0.7668804,0.8320000000000001,0.4
36,video6050.webm,0.85431993,0.7696737,0.8029999999999999,0.8
37,video6051.webm,0.85188675,0.76647764,0.691,0.4
38,video6052.webm,0.85426986,0.7696039,0.8059999999999999,0.846
39,video6054.webm,0.86270213,0.7807692,0.897,0.733
40,video6055.webm,0.856984,0.77318025,0.953,0.846
41,video6056.webm,0.85468113,0.7701484,0.684,0.813
42,video6057.webm,0.85215366,0.76682866,0.743,0.7140000000000001
43,video6058.webm,0.8555681,0.7713131,0.897,0.9229999999999999
44,video6059.webm,0.85475385,0.7702443,0.872,0.813
45,video6060.webm,0.85619926,0.77214384,0.9640000000000001,0.9229999999999999
46,video6061.webm,0.85277295,0.7676376,0.721,0.833
47,video6062.webm,0.8541844,0.7694887,0.8959999999999999,0.5379999999999999
48,video6063.webm,0.8662209,0.78547704,0.893,0.769
49,video6064.webm,0.8509368,0.76523495,0.953,0.545
50,video6065.webm,0.8638272,0.7822722,0.8909999999999999,0.9
51,video6067.webm,0.8550215,0.7705922,0.9259999999999999,0.889
52,video6068.webm,0.8606582,0.7780493,0.899,0.583
53,video6069.webm,0.851085,0.7654264,0.748,0.615
54,video6071.webm,0.85184693,0.7664268,0.831,0.7
55,video6072.webm,0.857733,0.77417433,0.838,0.818
56,video6073.webm,0.86656153,0.7859317,0.9229999999999999,0.833
57,video6074.webm,0.85248256,0.76725984,0.8079999999999999,0.7859999999999999
58,video6075.webm,0.8518392,0.76641685,0.953,0.846
59,video6076.webm,0.859969,0.7771317,0.9590000000000001,0.846
60,video6077.webm,0.8551711,0.7707882,0.9109999999999999,0.545
61,video6079.webm,0.8515954,0.7660973,0.627,0.455
62,video6080.webm,0.8571002,0.7733365,0.892,0.889
63,video6081.webm,0.85733646,0.7736473,0.883,0.75
64,video6084.webm,0.8557886,0.7716026,0.868,0.706
65,video6086.webm,0.8521675,0.7668464,0.953,0.818
66,video6087.webm,0.858743,0.7755065,0.887,0.875
67,video6088.webm,0.8504156,0.76455534,0.8390000000000001,0.9
68,video6089.webm,0.8550912,0.7706863,0.893,0.833
69,video6091.webm,0.8525043,0.7672894,0.924,0.875
70,video6092.webm,0.85540396,0.77109927,0.752,0.909
71,video6093.webm,0.85578984,0.7716041,0.8959999999999999,1.0
72,video6094.webm,0.8614342,0.7790807,0.9540000000000001,0.909
73,video6095.webm,0.8616874,0.7794169,0.805,0.667
74,video6096.webm,0.85193384,0.76654077,0.955,0.8
75,video6097.webm,0.8526058,0.76741916,0.815,0.556
76,video6098.webm,0.85533077,0.77100503,0.775,0.6
77,video6099.webm,0.85393023,0.7691573,0.809,0.667
78,video6100.webm,0.8594425,0.77644044,0.95,0.8
79,video6102.webm,0.85601515,0.7719022,0.841,0.9
80,video6103.webm,0.8551828,0.7708076,0.986,0.731
81,video6104.webm,0.8591877,0.77609396,0.894,0.8240000000000001
82,video6105.webm,0.86272,0.7807923,0.955,0.8
83,video6106.webm,0.85849667,0.7751795,0.981,0.938
84,video6107.webm,0.8607576,0.7781844,0.8079999999999999,0.889
85,video6109.webm,0.85241395,0.76716375,0.833,0.917
86,video6110.webm,0.86039764,0.77770233,0.807,0.6
87,video6111.webm,0.8559151,0.7717685,0.831,0.769
88,video6112.webm,0.86021996,0.77746576,0.836,0.846
89,video6114.webm,0.85140324,0.76584387,0.847,0.9229999999999999
90,video6115.webm,0.8557677,0.7715762,0.672,0.667
91,video6116.webm,0.85719323,0.77345526,0.779,0.8
92,video6117.webm,0.85616887,0.7721007,0.865,0.556
93,video6119.webm,0.85188955,0.7664845,0.983,0.7859999999999999
94,video6120.webm,0.8653729,0.7843387,0.8590000000000001,0.462
95,video6121.webm,0.85910547,0.7759881,0.953,0.769
96,video6122.webm,0.85142577,0.7658757,0.654,0.4
97,video6123.webm,0.86591274,0.78506446,0.9279999999999999,0.778
98,video6126.webm,0.8523947,0.7671459,0.8290000000000001,0.9
99,video6127.webm,0.85509384,0.7706902,0.893,0.769
100,video6128.webm,0.853408,0.7684735,0.889,0.818
101,video6129.webm,0.8520702,0.76672125,0.86,0.9229999999999999
102,video6131.webm,0.85778815,0.77424204,0.86,0.846
103,video6132.webm,0.85815203,0.7747296,0.8640000000000001,0.9
104,video6133.webm,0.8577559,0.7741978,0.8390000000000001,0.6
105,video6134.webm,0.85174394,0.76629263,0.897,0.727
106,video6135.webm,0.8518905,0.76648545,0.888,0.917
107,video6136.webm,0.8562149,0.7721634,0.9229999999999999,0.9
108,video6138.webm,0.85203815,0.7666774,0.917,0.7859999999999999
109,video6139.webm,0.8519213,0.76652515,0.816,0.9
110,video6140.webm,0.8646302,0.783348,0.92,0.833
111,video6141.webm,0.86104167,0.7785572,0.925,0.867
112,video6142.webm,0.8574356,0.7737797,0.833,0.636
113,video6143.webm,0.85434896,0.7697108,0.9229999999999999,0.7
114,video6145.webm,0.8545284,0.7699436,0.919,0.875
115,video6146.webm,0.8540715,0.7693453,0.925,0.9
116,video6148.webm,0.852017,0.7666497,0.955,0.889
117,video6149.webm,0.852426,0.7671852,0.9209999999999999,0.917
118,video6150.webm,0.862245,0.7801598,0.85,0.813
119,video6151.webm,0.85682535,0.7729682,0.802,0.9229999999999999
120,video6152.webm,0.8599839,0.77715784,0.982,1.0
121,video6154.webm,0.85176635,0.76632094,0.8909999999999999,0.889
122,video6155.webm,0.8514424,0.7658989,0.833,1.0
123,video6156.webm,0.85059536,0.76478904,0.892,0.833
124,video6157.webm,0.8524598,0.76722956,0.898,0.7
125,video6158.webm,0.85405385,0.76931995,0.897,0.6
126,video6160.webm,0.8508693,0.76514584,0.8909999999999999,1.0
127,video6161.webm,0.8633796,0.7816691,0.655,0.8
128,video6162.webm,0.85218585,0.76687086,0.867,0.833
129,video6163.webm,0.8624028,0.7803674,0.847,0.914
130,video6164.webm,0.85520613,0.770836,0.951,0.9
131,video6165.webm,0.8732283,0.794942,0.723,0.778
132,video6166.webm,0.85577023,0.77157724,0.807,0.8
133,video6167.webm,0.8602501,0.7775128,0.9620000000000001,0.9229999999999999
134,video6168.webm,0.8542711,0.76960933,0.752,0.7
135,video6169.webm,0.86689687,0.78638625,0.924,0.7
136,video6170.webm,0.8523351,0.76706564,0.861,0.917
137,video6171.webm,0.85784805,0.77432317,0.865,0.727
138,video6172.webm,0.86162364,0.7793318,0.863,0.8240000000000001
139,video6173.webm,0.85557604,0.77132356,0.898,0.8
140,video6174.webm,0.85732156,0.773631,0.8540000000000001,1.0
141,video6177.webm,0.86102474,0.77853656,0.95,1.0
142,video6178.webm,0.85736835,0.7736869,0.779,1.0
143,video6179.webm,0.85228777,0.76700425,0.773,0.909
