,video,Short-term-pred,Long-term-pred,Short-term-true,Long-term-true
0,video6005.webm,0.9418466,0.8508066,0.861,0.75
1,video6006.webm,0.8634635,0.7707034,0.956,0.833
2,video6007.webm,0.91309685,0.816856,0.922,0.722
3,video6009.webm,0.739744,0.6606937,0.895,0.6920000000000001
4,video6010.webm,0.9445025,0.8632673,0.8390000000000001,0.8
5,video6011.webm,0.8391502,0.74052894,0.9229999999999999,0.625
6,video6012.webm,0.86161816,0.7671416,0.5920000000000001,0.267
7,video6013.webm,0.7774832,0.69589317,0.983,0.7829999999999999
8,video6015.webm,0.7502911,0.6707948,0.8959999999999999,0.818
9,video6016.webm,0.74404836,0.66256773,0.831,0.583
10,video6017.webm,0.8115855,0.727062,0.82,0.81
11,video6018.webm,0.945089,0.85779727,0.861,0.917
12,video6019.webm,0.9444815,0.8586381,0.9209999999999999,0.7
13,video6021.webm,0.9093822,0.81730086,0.7390000000000001,0.9
14,video6022.webm,0.9372908,0.8449378,0.951,1.0
15,video6024.webm,0.7254306,0.6597162,0.86,0.727
16,video6026.webm,0.9400337,0.8494957,0.8759999999999999,0.556
17,video6027.webm,0.9252479,0.82727176,0.8420000000000001,0.9
18,video6028.webm,0.8832099,0.783846,0.89,0.909
19,video6030.webm,0.8017802,0.71040106,0.922,0.813
20,video6031.webm,0.8526058,0.75103027,0.953,0.889
21,video6032.webm,0.9033524,0.8105769,0.893,0.8
22,video6033.webm,0.8978486,0.7893611,0.747,0.889
23,video6034.webm,0.8053367,0.7141611,0.8240000000000001,0.654
24,video6036.webm,0.8702155,0.7676216,0.922,0.75
25,video6037.webm,0.9231938,0.8283801,0.769,0.727
26,video6038.webm,0.8513295,0.75419474,0.922,0.909
27,video6039.webm,0.88725555,0.78614044,0.892,0.8
28,video6040.webm,0.8930706,0.7981293,0.867,0.909
29,video6041.webm,0.7450115,0.66553724,0.8690000000000001,0.818
30,video6042.webm,0.85362256,0.7648054,0.816,0.8
31,video6043.webm,0.8573829,0.76608944,0.9309999999999999,0.8
32,video6044.webm,0.8388956,0.7408168,0.9229999999999999,0.818
33,video6047.webm,0.86526,0.76532745,0.8390000000000001,0.455
34,video6048.webm,0.92979944,0.8385516,0.797,0.8
35,video6049.webm,0.7802801,0.6985699,0.8320000000000001,0.4
36,video6050.webm,0.95844495,0.87872803,0.8029999999999999,0.8
37,video6051.webm,0.808239,0.71183175,0.691,0.4
38,video6052.webm,0.85869324,0.75693583,0.8059999999999999,0.846
39,video6054.webm,0.94221926,0.85551816,0.897,0.733
40,video6055.webm,0.87609285,0.78057694,0.953,0.846
41,video6056.webm,0.9431878,0.8629472,0.684,0.813
42,video6057.webm,0.87661,0.78232104,0.743,0.7140000000000001
43,video6058.webm,0.95280707,0.8699976,0.897,0.9229999999999999
44,video6059.webm,0.9164907,0.82143223,0.872,0.813
45,video6060.webm,0.90728307,0.8067537,0.9640000000000001,0.9229999999999999
46,video6061.webm,0.86740506,0.76853275,0.721,0.833
47,video6062.webm,0.8117155,0.7250805,0.8959999999999999,0.5379999999999999
48,video6063.webm,0.9042017,0.80357563,0.893,0.769
49,video6064.webm,0.87140965,0.77503186,0.953,0.545
50,video6065.webm,0.89084494,0.7818145,0.8909999999999999,0.9
